True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
-0.7,0,0,-0.702199,0.00496112,-0.0194074,0.00542668,0.0194074,8,3,1
-0.7,0,0,-0.702674,0.0068987,-0.000279916,0.0073987,0.000279916,6,2,1
-0.7,0,0,-0.701685,-0.0187579,-0.0150582,0.0188335,0.0150582,101,36,0
-0.7,0,0,-0.70602,-0.0126824,-0.0200673,0.0140388,0.0200673,101,40,0
-0.7,0,0,-0.695029,0.0194648,0.0307962,0.0200895,0.0307962,101,37,0
-0.7,0,0,-0.702245,0.0115449,0.0173162,0.0117612,0.0173162,101,36,0
-0.7,0,0,-0.694765,0.0011143,-0.0364509,0.00535206,0.0364509,6,2,1
-0.7,0,0,-0.70059,-0.00765318,0.0118846,0.00767587,0.0118846,6,2,1
-0.7,0,0,-0.701834,-0.0186652,-0.0181775,0.0187551,0.0181775,101,36,0
-0.7,0,0,-0.705493,-0.0167337,-0.0189134,0.0176121,0.0189134,101,36,0
-0.7,0,0,-0.697302,0.0191688,0.0356721,0.0193577,0.0356721,101,36,0
-0.7,0,0,-0.700338,-0.00123747,-0.022656,0.00128286,0.022656,6,2,1
-0.7,0,0,-0.694955,0.00445709,-0.00690329,0.00673214,0.00690329,6,2,1
-0.7,0,0,-0.700683,-0.0182389,-0.0164471,0.0182517,0.0164471,101,35,0
-0.7,0,0,-0.698097,-0.00391891,-0.0283743,0.0043564,0.0283743,6,2,1
-0.7,0,0,-0.701004,0.016876,0.00372974,0.0169059,0.00372974,101,35,0
-0.7,0,0,-0.703604,-0.0178396,-0.0258359,0.0182001,0.0258359,101,35,0
-0.7,0,0,-0.70411,-0.00443865,0.0077834,0.00604925,0.0077834,6,2,1
-0.7,0,0,-0.700948,0.0175372,0.0223276,0.0175628,0.0223276,101,35,0
-0.7,0,0,-0.697501,0.0186202,0.0371496,0.0187872,0.0371496,101,35,0
-0.6,0,0,-0.605499,-0.01714,-0.0217363,0.0180006,0.0217363,101,36,0
-0.6,0,0,-0.599133,0.019284,0.0226479,0.0193035,0.0226479,101,35,0
-0.6,0,0,-0.600505,-0.00377279,-0.0233838,0.00380646,0.0233838,6,2,1
-0.6,0,0,-0.59983,0.00324928,-0.0168292,0.00325372,0.0168292,6,2,1
-0.6,0,0,-0.595495,-0.00297489,0.0167283,0.00539875,0.0167283,4,1,1
-0.6,0,0,-0.600925,0.000620183,-0.0214023,0.00111397,0.0214023,6,2,1
-0.6,0,0,-0.595367,0.0216078,0.00324783,0.0220989,0.00324783,101,35,0
-0.6,0,0,-0.597094,0.0196803,0.0249075,0.0198936,0.0249075,101,36,0
-0.6,0,0,-0.606721,0.000700511,0.000663205,0.00675779,0.000663205,16,5,1
-0.6,0,0,-0.597584,0.0171069,0.0123917,0.0172767,0.0123917,101,36,0
-0.6,0,0,-0.598463,0.0209965,0.0208661,0.0210526,0.0208661,101,35,0
-0.6,0,0,-0.598232,0.0186029,0.0294588,0.0186867,0.0294588,101,35,0
-0.6,0,0,-0.583752,0.0134123,-0.182267,0.0210687,0.182267,4,1,1
-0.6,0,0,-0.597571,0.0187559,0.0243677,0.0189126,0.0243677,101,35,0
-0.6,0,0,-0.597099,0.0195714,0.0286844,0.0197853,0.0286844,101,35,0
-0.6,0,0,-0.602191,-0.0180263,-0.0250004,0.018159,0.0250004,101,35,0
-0.6,0,0,-0.601054,-0.0169789,-0.0234449,0.0170115,0.0234449,101,35,0
-0.6,0,0,-0.594746,0.0191608,0.0288543,0.0198681,0.0288543,101,45,0
-0.6,0,0,-0.601952,0.0190375,0.0157664,0.0191373,0.0157664,101,38,0
-0.6,0,0,-0.604253,-0.0147048,-0.0362871,0.0153074,0.0362871,101,36,0
-0.5,0,0,-0.501208,-0.0169495,-0.0184277,0.0169925,0.0184277,101,36,0
-0.5,0,0,-0.500767,-0.0170598,-0.0243161,0.0170771,0.0243161,101,35,0
-0.5,0,0,-0.501676,-0.0183569,-0.0360056,0.0184333,0.0360056,101,35,0
-0.5,0,0,-0.50156,-0.017008,-0.017562,0.0170794,0.017562,101,37,0
-0.5,0,0,-0.498192,0.00382589,0.0173323,0.0042316,0.0173323,7,2,1
-0.5,0,0,-0.497604,0.00417946,0.016941,0.0048174,0.016941,55,20,1
-0.5,0,0,-0.495132,0.000922398,-0.025579,0.00495455,0.025579,7,2,1
-0.5,0,0,-0.506049,-0.0176503,-0.0181954,0.0186582,0.0181954,101,36,0
-0.5,0,0,-0.49745,0.0183334,0.0283322,0.0185099,0.0283322,101,37,0
-0.5,0,0,-0.503867,-0.0166767,-0.0256115,0.0171192,0.0256115,101,35,0
-0.5,0,0,-0.50414,-0.0213305,-0.0216946,0.0217285,0.0216946,101,35,0
-0.5,0,0,-0.498811,0.00809079,0.0178623,0.00817763,0.0178623,101,35,0
-0.5,0,0,-0.50067,0.00747194,-0.0173895,0.00750195,0.0173895,6,2,1
-0.5,0,0,-0.498054,0.017889,0.0194299,0.0179944,0.0194299,101,35,0
-0.5,0,0,-0.495583,0.0138915,0.00588919,0.014577,0.00588919,101,36,0
-0.5,0,0,-0.494764,0.0174634,0.0266046,0.0182314,0.0266046,101,36,0
-0.5,0,0,-0.502078,-0.00409832,0.0285547,0.00459522,0.0285547,4,1,1
-0.5,0,0,-0.499757,-0.015078,-0.00530211,0.01508,0.00530211,101,35,0
-0.5,0,0,-0.499023,0.0186266,0.0182982,0.0186522,0.0182982,101,35,0
-0.5,0,0,-0.495912,0.0194183,0.0392281,0.0198441,0.0392281,101,35,0
-0.4,0,0,-0.40485,-0.0206981,-0.0333977,0.0212588,0.0333977,101,35,0
-0.4,0,0,-0.400321,-0.0212016,-0.0127046,0.0212041,0.0127046,101,36,0
-0.4,0,0,-0.396562,0.0175392,0.0192489,0.0178729,0.0192489,101,35,0
-0.4,0,0,-0.399282,0.0162634,0.0263226,0.0162792,0.0263226,101,35,0
-0.4,0,0,-0.399131,0.0197806,0.0302746,0.0197997,0.0302746,101,35,0
-0.4,0,0,-0.398624,0.0183017,0.0216824,0.0183534,0.0216824,101,35,0
-0.4,0,0,-0.405852,-0.0205521,-0.0182105,0.021369,0.0182105,101,35,0
-0.4,0,0,-0.398406,0.0167322,0.0131547,0.016808,0.0131547,101,36,0
-0.4,0,0,-0.396406,0.015847,0.00548209,0.0162495,0.00548209,101,35,0
-0.4,0,0,-0.402213,-0.0174575,-0.017194,0.0175972,0.017194,101,36,0
-0.4,0,0,-0.399758,0.0152373,0.0208436,0.0152392,0.0208436,101,36,0
-0.4,0,0,-0.399064,-0.0163072,-0.0114361,0.016334,0.0114361,101,35,0
-0.4,0,0,-0.39683,0.0148884,0.0282622,0.0152222,0.0282622,101,35,0
-0.4,0,0,-0.395988,0.0169238,0.0263919,0.0173929,0.0263919,101,35,0
-0.4,0,0,-0.407628,-0.0186211,-0.0289677,0.0201227,0.0289677,101,35,0
-0.4,0,0,-0.394812,-0.00267224,-0.0136854,0.00583552,0.0136854,17,6,1
-0.4,0,0,-0.397006,0.0157007,0.0146486,0.0159836,0.0146486,101,37,0
-0.4,0,0,-0.395107,0.0184685,0.026766,0.0191057,0.026766,101,35,0
-0.4,0,0,-0.398024,0.0211501,0.0310886,0.0212421,0.0310886,101,38,0
-0.4,0,0,-0.404226,0.000461405,-0.0217479,0.00425116,0.0217479,5,1,1
-0.3,0,0,-0.298647,-0.00174805,-0.0158175,0.00221048,0.0158175,18,6,1
-0.3,0,0,-0.299921,-0.00309493,-0.00734326,0.00309594,0.00734326,4,1,1
-0.3,0,0,-0.295889,0.0182549,0.0336803,0.018712,0.0336803,101,36,0
-0.3,0,0,-0.295473,0.0187562,0.0356028,0.0192949,0.0356028,101,35,0
-0.3,0,0,-0.297114,0.0144281,0.00961892,0.0147139,0.00961892,101,36,0
-0.3,0,0,-0.300992,-0.01744,-0.0149652,0.0174682,0.0149652,101,36,0
-0.3,0,0,-0.306035,-0.0175871,-0.0473636,0.0185938,0.0473636,101,36,0
-0.3,0,0,-0.298962,0.00342801,-0.0270045,0.00358181,0.0270045,5,1,1
-0.3,0,0,-0.29778,0.0176377,0.0296181,0.0177768,0.0296181,101,35,0
-0.3,0,0,-0.300478,0.0184877,0.0258306,0.0184939,0.0258306,101,36,0
-0.3,0,0,-0.3004,0.0178571,0.0265697,0.0178615,0.0265697,101,37,0
-0.3,0,0,-0.298421,0.00445778,0.0176241,0.00472912,0.0176241,62,22,1
-0.3,0,0,-0.278518,0.0068694,-0.165222,0.0225541,0.165222,3,1,1
-0.3,0,0,-0.30221,-0.0171643,-0.0177114,0.0173059,0.0177114,101,35,0
-0.3,0,0,-0.294558,0.0171907,0.0197812,0.0180315,0.0197812,101,36,0
-0.3,0,0,-0.299787,-0.0162286,-0.0383352,0.01623,0.0383352,101,35,0
-0.3,0,0,-0.303501,-0.019278,-0.0221907,0.0195933,0.0221907,101,35,0
-0.3,0,0,-0.295232,0.0053328,-0.0121379,0.00715365,0.0121379,4,1,1
